"Posición","Provincia","Canton","No.","No.Provincia","No.Canton","No.Unidad","IDH","UrbanoRural","AM","GAM","CX","CY","Area_km2","Total.de.jefas.de.hogar","Total.Hijos.de.jefas.de.hogar","Porcentaje..de.hijos.por.jefa.de.hogar","Porcentaje..de.cobertura","Deficit.cobertura.nominal","Total.niños.atendidos.x.CENCINAI","No.CENCINAI","Total.Poblacion","Total.Hombres","Total.Mujeres","Total.Viviendas","Total.Viviendas.Individuales","Total.Viviendas.Ocupadas","Total.Viviendas.Desocupadas","Promedio.de.ocupantes","Viviendas.colectivas","Total.Urbano","Hombres.urbano","Mujeres.urbano","Total.Rutal","Hombres.rural","Mujeres.rural","Total.10.o.mas","Alfabeta..10.o.mas","Analfabeta..10.o.mas","Porcentaje..Alfabetismo..10.o.mas","Total.Hombres..10.o.mas","Hombres.Alfabeta..10.o.mas","Hombres.analfabeta..10.o.mas","Total.Mujeres..10.o.mas","Mujer.Alfabeta..10.o.mas","Hombre.Analfabeta..10.o.mas","Total.Niños.Niñas.menor.de.5","Niños.menor.de.5","Niñas.menor.de.5","Total.Asiste.menor.de.5","Niños.Asiste.menor.de.5","Niñas.Asiste.menor.de.5","Total.No.asiste.menor.de.5","Niños.No.asiste.menor.de.5","Niñas.No.asiste.menor.de.5","Total.Poblacion.65.o.mas","Hombres..65.o.mas","Mujeres.65.o.mas","Total.65.o.mas.asiste.a.centros","Hombres.65.o.mas.asiste.a.centros","Mujeres.65.o.mas.asiste.a.centros","Total.65.o.mas.no.asiste.a.centros","Hombres.65.o.mas.no.asiste.a.centros","Mujeres.65.o.mas.no.asiste.a.centros","Población.de.5.años.y.más","Población.de.5.años.y.más..Celular.Usó.en.los.últimos.3.meses","Población.de.5.años.y.más..Computadora.Usó.en.los.últimos.3.meses","Población.de.5.años.y.más..Internet.Usó.en.los.últimos.3.meses","Seguro..Asalariado.a.","Seguro..Cuenta.propia..voluntario.o.convenio","Seguro..Régimen.no.contributivo..recibe.pensión.","Seguro..Pensionado.a...CCSS..Magisterio.y.otro.","Seguro..Familiar","Seguro..Por.el.Estado","Seguro..Otro","No.tiene.seguro.social.de.la.CCSS","Total.de.hogares","Jefatura.compartida","Jefatura.masculina","Jefatura.femenina","Total.de.viviendas.individuales.ocupadas","Estado.de.la.vivienda..Malo","Estado.de.la.vivienda..Regular","Estado.de.la.vivienda..Bueno","Menos.de.1.año","De.1.a.4.años","De.5.a.9.años","De.10.a.19.años","De.20.a.29.años","De.30.a.39.años","De.40.a.49.años","De.50.a.64.años","De.65.a.74.años","De.75.a.84.años","De.85.años.y.más","Hombres.Población.total","Hombres.Menos.de.1.año","Hombres.De.1.a.4.años","Hombres.De.5.a.9.años","Hombres.De.10.a.19.años","Hombres.De.20.a.29.años","Hombres.De.30.a.39.años","Hombres.De.40.a.49.años","Hombres.De.50.a.64.años","Hombres.De.65.a.74.años","Hombres.De.75.a.84.años","Hombres.De.85.años.y.más","Mujeres.Población.total","Mujeres.Menos.de.1.año","Mujeres.De.1.a.4.años","Mujeres.De.5.a.9.años","Mujeres.De.10.a.19.años","Mujeres.De.20.a.29.años","Mujeres.De.30.a.39.años","Mujeres.De.40.a.49.años","Mujeres.De.50.a.64.años","Mujeres.De.65.a.74.años","Mujeres.De.75.a.84.años","Mujeres.De.85.años.y.más","Violaciones","Vehiculos","Tacha","Homicidios","Fraude","Casas","Agresion","TotalDelitos","Posicion","Aceptados","Rechazados","NotaExamen","UCR","Medicina","Microbiologia","Comunicacion","Densidad_de_poblacion","Menos_de_1_ano","De_65_anos_y_mas","Poblacion_con_discapacidad_res"
46,"San Jose","San José",5,1,1,101,754,"Urbano",TRUE,TRUE,-924.99955,109.218163,44.9600991094,4531,5727,1.2639593909,-0.7831325301,4485,1242,17,288054,136371,151683,87109,87049,81903,5146,3.4999816857,60,288054,136371,151683,NA,NA,NA,247987,244908,3079,98.7584026582,115809,114413,1396,132178,130495,1683,20084,10391,9693,3374,1801,1573,16710,8590,8120,28171,11256,16915,862,193,669,27309,11063,16246,267970,209272,158172,150487,78721,23794,3142,21286,101683,16221,2281,40926,84066,5719,46183,32164,81903,6146,23835,51922,3970,16114,19983,45856,54226,42089,35460,42185,15262,9517,3392,136371,2053,8338,10171,22721,26670,20360,16467,18335,6444,3722,1090,151683,1917,7776,9812,23135,27556,21729,18993,23850,8818,5795,2302,161,1103,1585,157,1065,823,402,5296,46,2676,12955,46.4518611193,17.1198259868,49,18,46,6406.8808945261,3970,28171,12.3483791234
5,"San Jose","Escazú",18,1,2,102,904,"Mixto",TRUE,TRUE,-252.42269,29.752186,34.696909865,719,921,1.280945758,-0.8295331162,764,157,2,56509,26660,29849,18694,18678,16565,2113,3.4021128886,16,56098,26448,29650,411,212,199,48979,48484,495,98.9893627881,22879,22642,237,26100,25842,258,3817,1921,1896,1096,544,552,2721,1377,1344,4986,2223,2763,118,24,94,4868,2199,2669,52692,42897,34878,33804,15446,6250,460,3255,20426,1428,1200,8044,16839,1457,10178,5204,16565,804,3445,12316,759,3058,3713,8682,9975,8678,8034,8624,2956,1539,491,26660,369,1552,1860,4366,4785,3932,3661,3912,1365,672,186,29849,390,1506,1853,4316,5190,4746,4373,4712,1591,867,305,16,170,425,13,83,99,17,823,5,460,1820,48.0868997073,20.1754385965,10,5,6,1628.6464765865,759,4986,10.4284273302
70,"San Jose","Desamparados",23,1,3,103,686,"Mixto",TRUE,TRUE,-1092.748718,128.062279,119.8857323853,3087,3843,1.2448979592,-0.7351027843,2825,1018,18,208411,99974,108437,60123,60097,57355,2742,3.6174352716,26,194970,93273,101697,13441,6701,6740,177702,175290,2412,98.6426714387,84333,83192,1141,93369,92098,1271,14845,7560,7285,2128,1097,1031,12717,6463,6254,14477,6157,8320,418,91,327,14059,6066,7993,193566,148358,110837,104446,54656,16473,2092,10208,80631,12878,1168,30305,58608,4025,35156,19427,57355,3579,15915,37861,2912,11933,15864,37607,39546,30864,27165,28043,8475,4485,1517,99974,1431,6129,8081,18810,19109,14882,12687,12688,3717,1908,532,108437,1481,5804,7783,18797,20437,15982,14478,15355,4758,2577,985,61,685,299,52,138,284,81,1600,70,1706,7996,47.7149409344,17.5840032983,28,12,17,1738.4137032268,2912,14477,10.5387911387
26,"San Jose","Puriscal",38,1,4,104,806,"Mixto",FALSE,FALSE,-759.077497,88.464947,558.4279784265,378,465,1.2301587302,-0.4688172043,218,247,8,33004,16565,16439,11007,11002,9787,1215,3.3643608869,5,7734,3737,3997,25270,12828,12442,28596,27648,948,96.6848510281,14188,13673,515,14408,13975,433,2101,1139,962,235,131,104,1866,1008,858,3107,1552,1555,28,7,21,3079,1545,1534,30903,20569,13813,12485,6736,3331,785,1261,13658,3522,288,3423,9891,683,6491,2717,9787,739,2736,6312,425,1676,2307,6173,5974,4119,4618,4605,1785,991,331,16565,231,908,1238,3151,3022,1974,2198,2291,883,489,180,16439,194,768,1069,3022,2952,2145,2420,2314,902,502,151,3,39,35,0,12,10,6,105,26,347,2036,43.2977382706,14.5614771297,4,6,1,59.1016232621,425,3107,13.0559932129
76,"San Jose","Tarrazú",49,1,5,105,651,"Mixto",FALSE,FALSE,-252.159607,28.953365,293.984894949,200,259,1.295,-0.0733590734,19,240,4,16280,8091,8189,5742,5741,4551,1190,3.5765765766,1,8191,3943,4248,8089,4148,3941,13505,13026,479,96.4531654943,6687,6442,245,6818,6584,234,1457,737,720,110,58,52,1347,679,668,1046,529,517,6,3,3,1040,526,514,14823,10044,6143,5466,2104,2891,218,475,7612,626,72,2282,4632,601,3006,1025,4551,275,1261,3015,310,1147,1318,3494,2897,2055,2070,1943,636,321,89,8091,144,593,667,1686,1477,978,1038,979,310,172,47,8189,166,554,651,1808,1420,1077,1032,964,326,149,42,1,3,30,1,3,1,5,44,76,131,587,48.9346250181,18.2451253482,2,0,1,55.3769948038,310,1046,9.14004914
66,"San Jose","Aserrí",54,1,6,106,703,"Mixto",FALSE,FALSE,-588.795625,68.53701,167.6286863194,940,1187,1.2627659574,-0.6251053075,742,445,10,57892,28330,29562,17279,17273,16120,1153,3.586662531,6,41180,19919,21261,16712,8411,8301,48714,47751,963,98.023155561,23677,23181,496,25037,24570,467,4424,2289,2135,537,287,250,3887,2002,1885,3539,1611,1928,58,13,45,3481,1598,1883,53468,38195,25496,23366,14090,4669,666,2260,23480,4417,316,7994,16348,951,10599,4798,16120,1365,4682,10073,773,3651,4754,10872,10792,8616,7680,7215,2193,1033,313,28330,385,1904,2364,5451,5298,4152,3705,3460,1018,471,122,29562,388,1747,2390,5421,5494,4464,3975,3755,1175,562,191,15,131,40,7,14,43,15,265,66,97,694,43.8964002081,12.2629582807,0,0,0,345.3585497275,773,3539,10.8236025703
23,"San Jose","Mora",63,1,7,107,817,"Mixto",FALSE,FALSE,-421.380266,49.429167,164.3655726754,332,400,1.2048192771,-0.51,204,196,3,26294,12714,13580,8650,8648,7782,866,3.3766383963,2,12079,5767,6312,14215,6947,7268,22664,22215,449,98.0188845747,10849,10625,224,11815,11590,225,1786,937,849,356,188,168,1430,749,681,2044,985,1059,40,10,30,2004,975,1029,24508,17798,12497,11764,6461,2599,362,1031,10746,1859,323,2913,7873,789,4942,2142,7782,481,1949,5352,333,1453,1844,4662,4671,4074,3638,3575,1195,636,213,12714,171,766,928,2233,2253,1945,1728,1705,592,302,91,13580,162,687,916,2429,2418,2129,1910,1870,603,334,122,7,42,26,6,7,11,3,102,23,108,859,39.7162933457,11.1685625646,1,1,0,159.9726729388,333,2044,10.2228645318
41,"San Jose","Goicoechea",70,1,8,108,763,"Mixto",TRUE,TRUE,-588.199424,69.694025,31.782404455,1595,2008,1.2589341693,-0.7106573705,1427,581,7,115084,54269,60815,34522,34494,32520,1974,3.5261070111,28,113399,53437,59962,1685,832,853,99459,98495,964,99.0307563921,46311,45866,445,53148,52629,519,7767,3985,3782,1410,759,651,6357,3226,3131,10079,4111,5968,355,66,289,9724,4045,5679,107317,84786,66278,63311,32656,9268,1162,7863,41962,7544,742,13887,33351,2411,18897,12043,32520,1964,8435,22121,1530,6237,7858,18972,21901,16572,14580,17355,5573,3273,1233,54269,771,3214,3973,9334,10583,8007,6788,7488,2407,1281,423,60815,759,3023,3885,9638,11318,8565,7792,9867,3166,1992,810,36,380,278,64,99,159,60,1076,41,520,2795,45.9631494226,15.6862745098,2,0,8,3620.9972773744,1530,10079,11.678426193
3,"San Jose","Santa Ana",79,1,9,109,912,"Mixto",TRUE,TRUE,-505.18776,59.600845,61.6089419318,607,748,1.2322899506,-0.7620320856,570,178,3,49123,23499,25624,15840,15808,14235,1573,3.4293642431,32,45760,21852,23908,3363,1647,1716,42041,41494,547,98.6988891796,19991,19745,246,22050,21749,301,3492,1735,1757,963,490,473,2529,1245,1284,3318,1556,1762,57,15,42,3261,1541,1720,45631,37073,29758,28991,13711,5086,390,2275,17745,2454,808,6654,14467,1458,8921,4088,14235,551,2744,10940,687,2805,3590,7869,8894,8434,7029,6497,1927,1054,337,23499,338,1397,1773,3956,4168,3947,3331,3033,938,474,144,25624,349,1408,1817,3913,4726,4487,3698,3464,989,580,193,8,116,227,5,38,73,7,474,3,403,1415,48.86181153,22.1672167217,11,2,8,797.3355564902,687,3318,9.8670683794
81,"San Jose","Alajuelita",87,1,10,110,584,"Mixto",TRUE,TRUE,-420.532523,49.489907,21.5803155271,1395,1815,1.3010752688,-0.920661157,1671,144,2,77603,37347,40256,20634,20623,19832,791,3.9087837838,11,76826,36954,39872,777,393,384,64237,63308,929,98.5537929854,30553,30154,399,33684,33154,530,6681,3338,3343,743,372,371,5938,2966,2972,4253,1787,2466,103,29,74,4150,1758,2392,70922,52746,35243,32381,19178,5677,815,3004,29019,6704,420,12786,20471,1177,12058,7236,19832,1833,6578,11421,1277,5404,6685,15001,14791,11356,9664,9172,2522,1293,438,37347,603,2735,3456,7508,7202,5382,4556,4118,1071,556,160,40256,674,2669,3229,7493,7589,5974,5108,5054,1451,737,278,32,231,47,33,26,64,54,487,81,619,1685,53.4010221224,26.8663194444,7,4,5,3596.008589525,1277,4253,11.2495650941
