"","No.","Cantón","Total.delitos","Tasa.delitos","Pilar.de.calidad.de.vida","Indice.de.competitividad.cantonal","Pilar.económico","Pilar.Infraestructura","Pilar.clima.laboral","Pilar.Gobierno","IDH.2009","INESVIDA","IQ","BienestarMat","IDH.2012","Total.delitos..relativos.","Tasa.delitos..relativos.","Pilar.de.calidad.de.vida..relativos.","Indice.de.competitividad.cantonal..relativos.","Pilar.económico..relativos.","Pilar.Infraestructura..relativos.","Pilar.clima.laboral..relativos.","Pilar.Gobierno..relativos.","IDH.2009..relativos.","INESVIDA..relativos.","IQ..relativos.","BienestarMat..relativos.","IDH.2012..relativos.","Dindex","Total.delitos..relativos..1","Tasa.delitos..rank.","Pilar.de.calidad.de.vida..rank.","Indice.de.competitividad.cantonal..rank.","Pilar.económico..rank.","Pilar.Infraestructura..rank.","Pilar.clima.laboral..rank.","Pilar.Gobierno..rank.","IDH.2009..rank.","INESVIDA..rank.","IQ..rank.","BienestarMat..rank.","IDH.2012..rank.","Dindex..rank.","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12","Cluster13","Cluster14","Cluster15"
"1",1,"Abangares",-0.514065927607311,-0.483697143479185,0.0893903120944632,-0.417609591321702,0.519949060627086,-0.610465542091228,-1.45366363001794,0.791052331062037,-0.28631586522066,-0.412354548126128,-0.172768776726988,-0.172309670214607,0.134153328726438,0.514065927447752,0.483764621966302,0.0893903120944633,-0.417609591321702,0.519949060627086,-0.610465542091228,-1.18947826363133,0.791052331062037,-0.286315864882477,-0.412354548131097,-0.172768776076964,-0.172309670214608,0.134153329374429,-0.130468166133061,-0.975290047471365,28,28,52,14,57,74,19,47,52,46,46,33,46,"2","2","1","1","1","3","1","2","6","2","10","6","6","2"
"2",2,"Acosta",-0.540254809506218,-0.702025827752426,-0.729301649708621,-0.971935022048657,-0.616551618339222,-0.394826936154336,-0.904679725683864,0.333610730086475,-0.153377564479785,0.0628241001300195,1.34850662323972,-0.837574831738831,-0.0616909467866107,0.540254809324359,0.702018397152872,-0.72930164970862,-0.971935022048657,-0.616551618339222,-0.394826936154336,-0.791189572638441,0.333610730086474,-0.15337756444825,0.0628241002665869,1.34850662305966,-0.837574831738831,-0.0616909461962203,-0.507002442656026,-1.1865060837402,11,65,70,74,47,62,29,42,39,6,64,44,59,"2","2","1","1","1","3","1","2","4","6","10","6","6","2"
"3",3,"Aguirre",0.32771956200044,2.97443682965245,1.22372254832765,0.0727552127829128,0.0409952030627133,-0.644771683944824,-0.0354552104882424,1.0007130648425,-0.379372675739273,-1.67340557619052,0.282313607878436,-0.0884023525448855,-0.25753522229966,-0.327719562168878,-2.974433420382,1.22372254832765,0.0727552127829129,0.0409952030627132,-0.644771683944824,-0.0928203610344735,1.0007130648425,-0.379372675815234,-1.67340557588786,0.282313607938739,-0.0884023525448858,-0.257535221766871,-0.300866983046963,1.01014069345572,80,10,29,25,60,42,12,49,76,33,40,47,52,"1","1","4","5","5","6","6","3","2","11","8","9","7","4"
"4",4,"Alajuela",3.53897531865223,0.796542617973519,-0.655323460389065,0.984194142151272,1.08819940011024,0.315800287955873,1.702993819903,-0.767108122260973,-0.538898636628323,-0.649943872254201,-0.84889117671219,-0.124362631546195,-0.427266927744302,-3.53897531874704,-0.796527766635393,-0.655323460389064,0.984194142151272,1.08819940011024,0.315800287955873,2.60790432446524,-0.767108122260973,-0.538898636336307,-0.649943872329939,-0.848891176695434,-0.124362631546195,-0.427266927930611,-0.264307372915288,1.64378880226224,72,62,11,7,25,2,60,61,58,62,41,56,50,"1","2","1","4","2","2","2","7","8","4","12","8","9","10"
"5",5,"Alajuelita",0.0159471584420135,-0.163054215975093,-1.0498738034267,-0.508220479036685,-0.55160872239829,1.14404856984984,0.422031376456822,-1.48662564046212,-2.4797978274451,-1.36271184463842,-2.78624189974671,-1.61072083026698,-2.4248785379774,-0.0159471583921463,0.163079162919716,-1.0498738034267,-0.508220479036685,-0.55160872239829,1.14404856984984,0.190892131179638,-1.48662564046212,-2.47979782770641,-1.36271184492647,-2.78624189968605,-1.61072083026698,-2.42487853774747,-1.55755763073529,0.756681449933116,44,78,54,66,12,32,80,81,73,81,79,81,75,"2","3","3","3","4","7","5","8","7","7","5","1","14","7"
"6",6,"Alfaro Ruiz",-0.56769078101936,-0.699839625973989,3.61075212370532,1.28800711860739,-0.25124782867148,0.0854590497960123,-0.0812038691827488,1.23419888200711,-0.379372675739273,1.68939716531452,-0.406811145952635,-0.879528490573692,-0.727561483530977,0.567690781297926,0.699875783591295,3.61075212370532,1.28800711860739,-0.25124782867148,0.0854590497960123,-0.120100408362753,1.23419888200711,-0.379372675815234,1.68939716538899,-0.406811146066968,-0.879528490573691,-0.727561483638312,1.38238874723499,-1.35547891275528,13,2,8,39,34,43,10,49,4,52,65,63,7,"2","2","1","4","2","2","2","7","8","4","12","8","9","3"
"7",7,"Alvarado",-0.571432049862061,-0.790202632816052,0.666420188786998,-0.156437032613809,-0.535372998413057,-0.203692717255728,-0.721685090905839,0.676691930818147,0.258731167816928,1.63456885974651,-0.393808792106766,0.00149834495838789,-0.074747231820814,0.571432050137442,0.790199255108286,0.666420188786998,-0.156437032613809,-0.535372998413057,-0.203692717255728,-0.632965298134417,0.676691930818146,0.258731167526652,1.63456885898475,-0.393808792679731,0.00149834495838773,-0.0747472321543845,0.331048176624959,-1.43996532726281,6,16,43,65,41,58,20,30,5,50,38,45,27,"2","2","1","1","1","3","1","2","5","2","10","7","6","5"
"8",8,"Aserri",-0.267142183989037,-0.413592939783972,-0.931508700515406,-1.13716664082304,-0.608433756346605,0.00704501127350639,-0.218449845266268,-1.38656029024871,-0.897832048628686,-0.978913705662303,-1.14794531516718,-0.358104445054706,-0.662280058359961,0.267142184039741,0.413559117216102,-0.931508700515406,-1.13716664082304,-0.608433756346605,0.00704501127350629,-0.185572521950625,-1.38656029024871,-0.897832048137519,-0.978913705426081,-1.14794531491016,-0.358104445054706,-0.662280058866332,-1.19315500745392,0.207519755634135,31,72,73,73,35,47,78,66,69,73,51,61,69,"2","3","3","3","1","4","5","5","4","6","2","13","12","12"
"9",9,"Atenas",-0.449217267667158,-0.367391208866337,-0.379138220262723,0.00879458616057177,-0.210658518708398,0.247188004248681,0.0560421069007704,-0.0857107374744577,0.644252239965466,0.812144276226252,0.165292423265613,0.528915770310925,0.329997604239487,0.449217267804714,0.367423452000001,-0.379138220262723,0.00879458616057181,-0.210658518708398,0.247188004248681,-0.0273482474466014,-0.0857107374744581,0.644252239414709,0.81214427713261,0.165292423588004,0.528915770310925,0.329997603690369,0.30269121753286,-0.721830803948758,35,48,34,37,26,40,39,21,19,35,22,27,28,"2","2","1","1","6","3","8","1","6","2","6","12","8","5"
"10",10,"Bagaces",-0.512818837993077,-0.523923256202426,1.1990631518878,0.387228293676089,-0.470430102472125,-0.821203270620462,-0.675936432211332,1.61540021615342,-0.39266650581336,-0.668219974110207,-0.302792315185681,-0.166316290381056,-0.348929217539083,0.512818838076475,0.523976186472975,1.1990631518878,0.387228293676089,-0.470430102472125,-0.821203270620462,-0.627509288668761,1.61540021615342,-0.392666505229859,-0.668219974464688,-0.30279231510347,-0.166316290381056,-0.348929217200468,0.355619600846169,-0.933046840217597,23,11,20,59,63,57,5,51,59,49,44,53,26,"2","2","1","4","2","2","2","7","5","4","6","7","11","14"
